"CD_MUN";"casos";"ideb_f1";"ideb_f2";"ideb_em";"d1";"d2";"d3";"d4";"d5";"d6"
"33";"3202603";5;6.4;5.76666666666667;0;0.8026586034;0.5966853035;0.4009584665;0.7948615548;0.9775026624;0.8372104633
"34";"3202652";21;5.4;5;0;0.7635899109;0.5652511416;0.3120243531;0.8432267884;0.9584728564;0.7700342466
"35";"3202702";19;6.36666666666667;5.1;4.8;0.7952091543;0.611944834;0.3662147421;0.756408758;0.9737156511;0.8754382889
"36";"3202801";90;5.3;5.06666666666667;4.2;0.8014210492;0.5796560211;0.3753434066;0.5163738172;0.9706260175;0.898838141
"37";"3202900";12;6.5;5.4;4.8;0.7953033827;0.6166238218;0.4004570123;0.828548986;0.9768161478;0.8270672665
"38";"3203007";76;6.03333333333333;5.36666666666667;5.3;0.8018244014;0.5689566705;0.386659065;0.7895191942;0.959280375;0.855886545
"39";"3203056";82;5.6;5.05;0;0.7680506594;0.558886604;0.3777255516;0.7282200679;0.9714714715;0.8592097532
"40";"3203106";18;6;5.3;0;0.7719803593;0.6163093415;0.4041177471;0.7307512336;0.9790709546;0.9122639102
"41";"3203130";8;6.5;5.3;5.2;0.7991439272;0.598247191;0.3994007491;0.7154868914;0.9816479401;0.9582865169
"42";"3203163";1;6.86666666666667;5.06666666666667;5.7;0.7871826449;0.5845159151;0.3111184792;0.7125331565;0.9665856174;0.7947612732
"43";"3203205";337;5.56666666666667;4.43333333333333;4.3;0.7889095457;0.604437051;0.4380029836;0.7372904644;0.9629182533;0.9264883406
"44";"3203304";23;6.7;5.23333333333333;4.4;0.803874092;0.5574307565;0.3198291305;0.6914703045;0.9719351431;0.8608670938
"45";"3203320";49;5.6;5.35;5;0.755552391;0.6083909933;0.3750635237;0.6243403307;0.965332343;0.8544476369
"46";"3203346";24;6;5.63333333333333;5.3;0.748767507;0.5690588235;0.4291176471;0.7791421569;0.9632026144;0.8621323529
"47";"3203353";14;6.3;5;0;0.778032971;0.5932207931;0.3971954269;0.7897909968;0.9797844468;0.8825361736
"48";"3203403";30;5.7;4.65;4;0.8498115043;0.5968077344;0.3833150918;0.6807962422;0.9687259313;0.8490400401
"49";"3203502";38;5.9;4.6;4.3;0.802320888;0.57790111;0.3917928019;0.654658594;0.9757932504;0.9256685166
"50";"3203601";12;6;5.1;0;0.8089413135;0.5878631498;0.4013761468;0.7366207951;0.9758749575;0.9134174312
"51";"3203700";25;6.4;5.56666666666667;5.2;0.8097566444;0.5852499095;0.3403356272;0.7591905107;0.9522314781;0.8213962332
"52";"3203809";16;5.3;4.76666666666667;4.1;0.8334987867;0.6147418928;0.3619016104;0.5649404368;0.9704573866;0.8919796492
"53";"3203908";85;5.7;4.76666666666667;4.9;0.8014740673;0.6207261146;0.3928450106;0.7657749469;0.9768931352;0.8610270701
"54";"3204005";24;5.83333333333333;4.5;4.9;0.8157306049;0.5794185599;0.3511102554;0.7690604544;0.9746502375;0.8193829419
